quote,character,movie
"Catapults! , ha ha ha.     ",MINOR_CHARACTER,The Return of the King
More will come,Th�oden,The Return of the King
"My sons are spent! ,     My line has ended!  ",Denethor I,The Return of the King
Six thousand will not be enough to break the lines of Mordor.,Aragorn II Elessar,The Return of the King
"Every hour lost hastens Gondor's defeat.  ,  We have until dawn then we must ride.   ",Aragorn II Elessar,The Return of the King
My line has ended!,Denethor I,The Return of the King
My lord!,Peregrin Took,The Return of the King
Rohan has deserted us!,Denethor I,The Return of the King
"Theoden's betrayed me! ABANDON YOUR POSTS! ,FLEE! FLEE FOR YOUR LIVES! ",Denethor I,The Return of the King
Prepare for battle. Hurry men! To the wall! Defend the wall! Over here!     Return to your posts.,Gandalf,The Return of the King
Send these foul beasts into the Abyss.,Gandalf,The Return of the King
The     house of Stewards has failed.,Denethor I,The Return of the King
We need more rubble!,MINOR_CHARACTER,The Return of the King
He needs medicine my lord!,Peregrin Took,The Return of the King
None who venture there ever return.  That mountain is evil.,�omer,The Return of the King
"Aragorn!  ,      Let's find some food.   ",Gimli,The Return of the King
There.  A true esquire of Rohan.,�owyn,The Return of the King
"I'm ready!  , Sorry.  It isn't all that dangerous.  It's not     even sharp.   ",Meriadoc Brandybuck,The Return of the King
He's alive!,Peregrin Took,The Return of the King
Stay where you are!,Gothmog (Lieutenant of Morgul),The Return of the King
"To the smithy, go!   ",�owyn,The Return of the King
You should not encourage him.,�omer,The Return of the King
You should not doubt him.,�owyn,The Return of the King
Sir?  King Theoden awaits you my lord.,MINOR_CHARACTER,The Return of the King
Watch out!,MINOR_CHARACTER,The Return of the King
Down to the lower levels quick!,MINOR_CHARACTER,The Return of the King
"I do not doubt his heart, only the reach of his arm.      ",�omer,The Return of the King
Why should Merry be left behind?  He has as much cause to go to war as     you.  Why can he not fight for those he loves?,�owyn,The Return of the King
Double up men!,MINOR_CHARACTER,The Return of the King
"Hold them back, do not give in to fear. Stand to your posts. Fight!  ",Gandalf,The Return of the King
"Not at the towers! Aim for the trolls, kill the trolls! ",Gandalf,The Return of the King
"You know as little of war as that Hobbit.   When the fear takes him    , and the blood and the     screams and the horror of battle take hold.  Do you think he would stand and     fight?  He would flee.  And he would be right to do so.     ,  War is the     province of men Eowyn.   ",�omer,The Return of the King
Bring them down!,Gandalf,The Return of the King
They called us out to fight.,Peregrin Took,The Return of the King
"Fight them back! ,Peregrin Took! Go back to the Citadel. ",Gandalf,The Return of the King
This is no place for a Hobbit!,Gandalf,The Return of the King
What are you doing you useless scum?,Gothmog (Lieutenant of Morgul),The Return of the King
My lord Elrond,Aragorn II Elessar,The Return of the King
"Guard of the Citadel indeed! , Now back up the hill     quickly. Quick!  ",Gandalf,The Return of the King
The door wont give. It's too strong.,MINOR_CHARACTER,The Return of the King
I come on behalf of one whom I love.  Arwen is dying.  She will not long     survive the evil that now spreads from Mordor.  The light of the evenstar is     failing.  As Sauron's power grows her strength wanes.  Arwen's life is now     tied to the fate of the Ring.  The Shadow is upon us Aragorn.  The end has     come.,Elrond,The Return of the King
There are none.,Aragorn II Elessar,The Return of the King
There are those that dwell in the mountain.,Elrond,The Return of the King
"Murderers, traitors. You would call upon them to fight?  They believe in     nothing.  They answer to no one ",Aragorn II Elessar,The Return of the King
I take my leave.,Th�oden,The Return of the King
Sauron will not have forgotten the sword of Elendil.,Aragorn II Elessar,The Return of the King
"  You ride to war     but not to victory.  Sauron's armies ride on Minas Tirith, this you know.      But in secret he sends another force, which will attack, from the river.    , A fleet of Corsair ships sails from the South.  They will be     in the city in two days.  You're outnumbered Aragorn.  You need more men. ",Elrond,The Return of the King
"It will not be our end, but his.   ",Aragorn II Elessar,The Return of the King
"They will answer to the King of Gondor.  , And'ril, the Flame of the West, forged from the shards of     Narsil.   ",Elrond,The Return of the King
The blade that was broken shall return to Minas Tirith.,Aragorn II Elessar,The Return of the King
